Unnamed: 0,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Genre
5210,Djavan,Clube do Samba,"Sambabook João Nogueira, 2",compilation,0.614,0.749,11.0,-9.502,0.283,0.375,0.0,0.666,0.78,105.169,278853.0,Djavan -  Fato Consumado - versão do DVD Ária ao Vivo,DjavanOficial,1394593.0,14495.0,380.0,True,True,23335006.0,pop
5212,DJ Premier,Le Pido a DIOS,SIXDO,single,0.626,0.597,3.0,-5.094,0.0991,0.0167,6.2e-06,0.109,0.883,174.958,165880.0,Feid - Le Pido A Dios (Official Video),FeidVEVO,11492153.0,156483.0,2534.0,True,True,19384825.0,hip hop
5213,DJ Premier,Wave Gods,Magic,album,0.601,0.938,1.0,-4.382,0.282,0.0225,0.0,0.0508,0.762,87.129,190261.0,"Nas - ""Wave Gods"" feat. A$AP Rocky and DJ Premier (Official Video)",Nas,7219852.0,254215.0,9936.0,True,True,20257898.0,hip hop
5214,DJ Premier,ooh la la (feat. Greg Nice & DJ Premier),RTJ4,album,0.686,0.824,11.0,-5.413,0.34,0.157,0.0,0.242,0.405,170.079,183827.0,"Run The Jewels ""Ooh LA LA"" feat. Greg Nice & DJ Premier (Official Music Video)",RunTheJewels,17778318.0,207476.0,12253.0,False,False,39561559.0,hip hop
5215,DJ Premier,The Root of All (feat. Slick Rick & Lil Wayne),Hip Hop 50: Vol. 1,single,0.572,0.85,3.0,-4.475,0.197,0.0893,0.0,0.191,0.797,96.335,137995.0,DJ Premier - The Root of All feat. Slick Rick & Lil Wayne (Official Audio),Mass Appeal,125619.0,5667.0,595.0,True,True,1421644.0,hip hop
5216,DJ Premier,Vinyl Days (feat. DJ Premier),Vinyl Days,album,0.694,0.874,7.0,-2.96,0.333,0.38,0.0,0.122,0.591,89.959,282581.0,Logic - Vinyl Days (Audio) ft. DJ Premier,LogicVEVO,600641.0,28969.0,1817.0,True,True,7386990.0,hip hop
5217,DJ Premier,Getcha Groove On - Dirt Road Mix,Chocolate Starfish And The Hot Dog Flavored Water,album,0.903,0.785,8.0,-6.285,0.309,0.0192,3.83e-06,0.177,0.965,94.211,259107.0,Limp Bizkit - Getcha Groove On feat. Xzibit (Dirt Road Mix),Myusik,18930.0,275.0,22.0,False,False,8564749.0,hip hop
5218,DJ Premier,Our Streets (feat. A$AP Ferg) (feat. A$AP Ferg),Our Streets (feat. A$AP Ferg) (feat. A$AP Ferg),single,0.349,0.892,6.0,-3.011,0.351,0.112,0.0,0.212,0.849,172.639,183688.0,DJ Premier - Our Streets feat. A$AP Ferg (Official Video),Payday Records,6606097.0,110097.0,3622.0,False,False,7994814.0,hip hop
5219,DJ Premier,"Headlines (feat. Westside Gunn, Conway & Benny)","Headlines (feat. Westside Gunn, Conway & Benny)",single,0.486,0.928,8.0,-4.13,0.363,0.467,0.0,0.116,0.57,90.036,207673.0,"DJ Premier - Headlines feat. Westside Gunn, Conway & Benny (Official Video) [Payday Records]",Payday Records,3349463.0,72663.0,3390.0,False,True,4781780.0,hip hop
5220,DJ Premier,AEAO,A Giant Step,single,0.446,0.764,2.0,-6.479,0.181,0.057,0.0,0.141,0.576,152.604,316944.0,"[MV] Dynamic Duo, DJ Premier(다이나믹듀오, 디제이 프리미어) _ AEAO",1theK (원더케이),2995636.0,42090.0,3876.0,False,False,5666524.0,hip hop
5221,DJ Premier,Beat Breaks (feat. Nas),Hip Hop 50: Vol. 1,single,0.557,0.845,10.0,-4.373,0.344,0.496,0.0,0.115,0.867,93.374,159155.0,DJ Premier - Beat Breaks feat. Nas (Official Audio),Mass Appeal,191667.0,8482.0,710.0,True,True,1018258.0,hip hop
5224,Chris Rea,Fool (If You Think It's Over),New Light Through Old Windows,compilation,0.704,0.466,11.0,-6.931,0.0311,0.0395,7.78e-06,0.095,0.872,110.199,243347.0,Chris Rea - Fool If You Think Its Over (Official Music Video),Chris Rea,1237615.0,16334.0,881.0,True,True,15582573.0,pop
5225,Chris Rea,Looking for the Summer,Auberge,album,0.565,0.67,11.0,-13.777,0.032,0.0808,0.466,0.0518,0.253,95.027,303600.0,Chris Rea - Looking For The Summer  HD 720,filmsmusicru,27732714.0,140857.0,4962.0,False,False,20398820.0,pop
5226,Chris Rea,On the Beach,New Light Through Old Windows,compilation,0.735,0.728,5.0,-7.405,0.0405,0.229,2.71e-05,0.0657,0.96,127.97,221133.0,Chris Rea - On the Beach (Official Music Video),Chris Rea,9428166.0,75674.0,2754.0,True,True,13848080.0,pop
5228,Chris Rea,I Can Hear Your Heartbeat,Water Sign,album,0.689,0.722,7.0,-8.575,0.0313,0.0034,0.041,0.0488,0.97,123.145,211146.0,Chris Rea - I Can Hear Your Heartbeat 1988 Video Sound HQ,NEA ZIXNH,1465770.0,9273.0,368.0,False,False,6237805.0,rock
5230,Chris Rea,On the Beach,On the Beach,album,0.747,0.575,5.0,-12.017,0.0311,0.231,0.0935,0.814,0.615,114.528,302427.0,Chris Rea - On the Beach (Official Music Video),Chris Rea,9428166.0,75674.0,2754.0,True,True,8703491.0,rock
5252,Ginuwine,Pony,R&B: From Doo-Wop To Hip-Hop,compilation,0.749,0.605,8.0,-9.359,0.086,0.00186,0.0381,0.115,0.966,142.024,251733.0,Ginuwine - Pony,GinuwineVEVO,169302915.0,1293169.0,30422.0,True,True,412886790.0,blues
5253,Ginuwine,Toxic Pony,Toxic Pony,single,0.775,0.652,0.0,-9.906,0.152,0.00757,0.000598,0.105,0.922,143.08,198042.0,Ginuwine - Pony,GinuwineVEVO,169302915.0,1293169.0,30422.0,True,True,70303008.0,blues
5254,Ginuwine,So Anxious,100% Ginuwine,album,0.733,0.395,6.0,-11.959,0.0366,0.279,2.37e-06,0.468,0.661,96.085,276067.0,Ginuwine - So Anxious,GinuwineVEVO,21563999.0,205964.0,4691.0,True,True,78397702.0,R&B
5255,Ginuwine,Differences,The Life,album,0.562,0.594,3.0,-4.578,0.0558,0.318,0.0,0.311,0.423,62.876,265533.0,Ginuwine - Differences (Official Video),GinuwineVEVO,29121184.0,323294.0,8166.0,True,True,187339982.0,R&B
5256,Ginuwine,Pony,Ginuwine... The Bachelor,album,0.544,0.648,8.0,-8.079,0.29,0.0068,0.000919,0.503,0.956,142.026,324800.0,Ginuwine - Pony,GinuwineVEVO,169302915.0,1293169.0,30422.0,True,True,84190231.0,blues
5257,Ginuwine,In Those Jeans,The Senior,album,0.691,0.541,1.0,-5.873,0.0776,0.508,0.0,0.0753,0.319,127.683,243307.0,Ginuwine - In Those Jeans,GinuwineVEVO,14085794.0,135945.0,2861.0,True,True,74213182.0,blues
5258,Ginuwine,Stingy,The Senior,album,0.622,0.573,1.0,-6.934,0.0547,0.26,0.0,0.173,0.617,127.132,259493.0,Ginuwine - Stingy,PrezSteej,8089927.0,69279.0,2487.0,False,False,16908693.0,blues
5259,Ginuwine,None Of Ur Friends Business,100% Ginuwine,album,0.83,0.414,9.0,-11.136,0.197,0.243,0.0,0.627,0.556,99.234,365800.0,Ginuwine - None Of Ur Friends Business,GinuwineVEVO,3007776.0,45277.0,1447.0,True,True,7464410.0,R&B
5260,Ginuwine,Same Ol' G,100% Ginuwine,album,0.833,0.338,5.0,-12.831,0.127,0.0375,0.0,0.0459,0.73,81.822,259667.0,Ginuwine - Same Ol' G,GinuwineVEVO,3722182.0,52517.0,2976.0,True,True,13280961.0,R&B
5261,Ginuwine,Love You More,The Senior,album,0.661,0.422,8.0,-6.918,0.0282,0.0881,3.03e-06,0.164,0.426,117.006,241373.0,Ginuwine - I love you more every day,sandbagz,8924207.0,84100.0,2923.0,False,False,8629387.0,blues
5262,Raça Negra,Cheia de Manias,Grandes Sucessos,compilation,0.707,0.614,7.0,-9.377,0.058,0.198,0.0,0.177,0.957,156.473,211000.0,Raça Negra - Cheia De Manias (DVD Raça Negra & Amigos) [Video Oficial],Raça Negra,121336425.0,696738.0,14937.0,True,True,87717502.0,pagode
5263,Raça Negra,Cheia de Manias,Cheia de Manias,single,0.833,0.851,7.0,-6.859,0.0768,0.21,0.000174,0.303,0.776,95.011,227453.0,Raça Negra - Cheia De Manias (DVD Raça Negra & Amigos) [Video Oficial],Raça Negra,121336425.0,696738.0,14937.0,True,True,39035556.0,pagode
5264,Raça Negra,É Tarde Demais / Cheia de Manias - Ao Vivo Em Goiânia,No Pelo 360° (Ao Vivo Em Goiânia),single,0.394,0.873,4.0,-5.716,0.123,0.282,0.0,0.388,0.507,104.985,321711.0,Hugo e Guilherme part. Raça Negra - É Tarde Demais/Cheia de Manias - No Pelo 360° Ao Vivo em Goiânia,Hugo e Guilherme,5010411.0,23585.0,210.0,True,True,3509543.0,pagode
5265,Raça Negra,Vida Cigana,Vem Pra Ficar,album,0.584,0.586,7.0,-9.147,0.0572,0.788,0.0,0.131,0.34,85.027,195507.0,Raça Negra - Vida Cigana (DVD Raça Negra & Amigos) [Video Oficial],Raça Negra,14039868.0,104502.0,1827.0,True,True,12095810.0,pagode
5266,Raça Negra,Quando Te Encontrei / Cigana / Cheia de Manias - Ao Vivo,Quando Te Encontrei / Cigana / Cheia de Manias (Ao Vivo),single,0.34,0.845,5.0,-7.011,0.0625,0.535,5.85e-06,0.489,0.671,86.044,311477.0,"Turma do Pagode, Raca Negra - Quando Te Encontrei / Cigana / Cheia de Manias (Ao Vivo)",TurmadoPagodeVEVO,739675.0,1667.0,40.0,True,True,503699.0,pagode
5267,Raça Negra,Cigana - Ao Vivo,Raça Negra e Amigos II (Ao Vivo),album,0.655,0.63,0.0,-6.717,0.0353,0.47,0.0,0.589,0.355,141.981,195875.0,Raça Negra - Cigana (O Mundo Canta Raça Negra Ao Vivo) [Vídeo Oficial],Raça Negra,1570980.0,11014.0,169.0,True,True,27107941.0,pagode
5268,Raça Negra,Cheia de Manias - Ao Vivo,Raça Negra e Amigos II (Ao Vivo),album,0.714,0.822,8.0,-7.183,0.0599,0.389,1.88e-05,0.916,0.443,99.989,277125.0,Raça Negra - Cheia De Manias (DVD Raça Negra & Amigos) [Video Oficial],Raça Negra,121336425.0,696738.0,14937.0,True,True,26205739.0,pagode
5269,Raça Negra,É Tarde Demais,Raça Negra - Vol. 6,album,0.615,0.403,4.0,-11.648,0.0282,0.425,4.41e-06,0.321,0.454,136.377,214693.0,Gigantes do Samba - É Tarde Demais (Ao Vivo),GigantesDoSambaVEVO,260424939.0,1803774.0,32669.0,True,True,13175636.0,pagode
5270,Raça Negra,Pensando Em Você,Grandes Sucessos,compilation,0.573,0.828,7.0,-4.991,0.0461,0.0955,0.0,0.156,0.901,89.955,201493.0,Raça Negra - Pensando em Você (Raça Negra & Amigos 2) [Vídeo Oficial],Raça Negra,6067399.0,15385.0,269.0,True,True,8905909.0,pagode
5271,Raça Negra,Vida Cigana / Maravilha / Jeito Felino - Ao Vivo,Confia (Ao Vivo),album,0.44,0.793,2.0,-7.542,0.0752,0.762,2.09e-05,0.273,0.738,159.977,323536.0,Vida Cigana / Maravilha / Jeito Felino (Ao Vivo),Grupo Menos É Mais - Topic,6402.0,77.0,2.0,True,True,258592.0,pagode
5272,José Luis Perales,¿Y cómo es él?,Entre El Agua Y El Fuego,album,0.219,0.323,10.0,-12.211,0.0333,0.66,0.0,0.106,0.339,170.437,248000.0,José Luis Perales - Y ¿Como Es El? (Video Original),dj may,75445.0,1074.0,41.0,False,False,151215095.0,latin
5273,José Luis Perales,Me llamas,Tiempo de otoño,album,0.711,0.684,2.0,-7.186,0.0286,0.256,0.000264,0.304,0.76,124.851,275067.0,Jose Luis Perales - Me Llamas (Video Clip Inédito) (Fuente Betamax) (1979),Videoteca Mix,31556.0,426.0,25.0,False,False,68993556.0,latin
5274,José Luis Perales,Un velero llamado Libertad,Tiempo de otoño,album,0.636,0.812,4.0,-6.307,0.0276,0.433,8.16e-06,0.0363,0.888,93.568,222600.0,Jose Luis Perales Un velero llamado libertad,laperche100,19095439.0,143085.0,8746.0,False,False,62939952.0,latin
5276,José Luis Perales,Un Velero Llamado Libertad,Leyendas,album,0.571,0.355,9.0,-13.049,0.0608,0.722,3.27e-05,0.136,0.261,93.987,201593.0,Jose Luis Perales Un velero llamado libertad,laperche100,19095439.0,143085.0,8746.0,False,False,26631324.0,latin
5277,José Luis Perales,Te quiero,Nido de águilas,album,0.4,0.513,2.0,-6.699,0.0313,0.435,1.39e-05,0.128,0.379,139.674,230720.0,"JOSÉ LUIS PERALES ""TE QUIERO""",YouMoreTv - Espectáculo,15201779.0,77166.0,2784.0,False,False,25967529.0,latin
5278,José Luis Perales,Ella y El,Originales (20 Exitos),album,0.6,0.729,2.0,-7.281,0.0272,0.488,3.24e-06,0.135,0.604,93.503,187120.0,Ella y El- José Luis Perales,miriyoi,28914900.0,80969.0,3052.0,False,False,17696659.0,latin
5279,José Luis Perales,El amor,Tiempo de otoño,album,0.408,0.531,2.0,-5.601,0.0256,0.543,0.000198,0.223,0.446,98.025,251520.0,Jose Luis Perales - El Amor (Original),VideosMusicaVEVO,15003771.0,94816.0,3386.0,False,False,23322699.0,latin
5280,José Luis Perales,Y te vas,Para vosotros canto,album,0.483,0.421,6.0,-7.08,0.0266,0.511,0.0,0.12,0.456,97.412,279507.0,"Jose Luis Perales ""Y Tú, Te Vas""",YouMoreTv - Espectáculo,7745529.0,32988.0,1381.0,True,True,21910732.0,latin
5281,José Luis Perales,Canción de otoño,Entre El Agua Y El Fuego,album,0.399,0.245,0.0,-11.813,0.0314,0.539,0.0,0.0653,0.242,108.145,271000.0,Jose Luis Perales - Cancion De Otoño,orlandel,171819.0,1556.0,170.0,False,False,16723935.0,latin
5282,Janet Jackson,Together Again,The Velvet Rope,album,0.865,0.505,7.0,-11.813,0.102,0.0631,0.0151,0.102,0.475,123.102,301200.0,Janet Jackson - Together Again (Official Music Video),JanetJacksonVEVO,4246289.0,30051.0,943.0,True,True,123209390.0,hip hop
5283,Janet Jackson,That's The Way Love Goes,Janet,album,0.703,0.7,5.0,-6.789,0.0693,0.302,0.471,0.0718,0.582,97.675,265107.0,Janet Jackson - That's The Way Love Goes (Official Music Video),JanetJacksonVEVO,18312921.0,217819.0,7346.0,True,True,113771683.0,R&B
5284,Janet Jackson,Got 'Til It's Gone,The Velvet Rope,album,0.752,0.364,7.0,-10.375,0.277,0.0177,0.000306,0.278,0.534,89.842,241760.0,Janet Jackson - Got 'Til It's Gone (Official Music Video),JanetJacksonVEVO,5770604.0,68066.0,2740.0,True,True,80339071.0,hip hop
5285,Janet Jackson,All For You,All For You,album,0.753,0.934,2.0,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525,329933.0,Janet Jackson - All For You,JanetJacksonVEVO,12125948.0,106535.0,3793.0,True,True,79895244.0,R&B
5286,Janet Jackson,Again,Janet,album,0.359,0.287,0.0,-9.51,0.0303,0.882,0.00607,0.186,0.189,130.135,227133.0,Janet Jackson - Again (Official Music Video),JanetJacksonVEVO,5168397.0,61325.0,2999.0,True,True,38536922.0,R&B
5287,Janet Jackson,"Any Time, Any Place",Janet,album,0.571,0.232,10.0,-11.309,0.0699,0.604,0.000246,0.119,0.207,128.785,428200.0,"Janet Jackson - Any Time, Any Place (Official Music Video)",JanetJacksonVEVO,6666215.0,95802.0,3006.0,True,True,42229979.0,R&B
5288,Janet Jackson,Scream,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,0.805,0.942,0.0,-6.584,0.0905,0.0745,1.46e-05,0.415,0.608,106.525,278293.0,"Michael Jackson, Janet Jackson - Scream (Official Video)",michaeljacksonVEVO,147091116.0,1164253.0,62639.0,True,True,69106645.0,R&B
5289,Janet Jackson,Call On Me,20 Y.O.,album,0.714,0.67,8.0,-6.053,0.0445,0.341,1.89e-06,0.0772,0.771,82.008,204267.0,Janet Jackson - Call On Me ft. Nelly,JanetJacksonVEVO,5570017.0,73394.0,1959.0,True,True,22822086.0,pop
5290,Janet Jackson,I Get Lonely,The Velvet Rope,album,0.774,0.496,7.0,-8.144,0.0498,0.186,0.0,0.542,0.452,125.137,317560.0,Janet Jackson - I Get Lonely (Official Music Video),JanetJacksonVEVO,712121.0,12177.0,408.0,True,True,36182275.0,hip hop
5291,Janet Jackson,When I Think Of You,Control,album,0.759,0.639,9.0,-11.386,0.0425,0.084,0.0331,0.0518,0.706,116.207,235493.0,Janet Jackson - When I Think Of You,JanetJacksonVEVO,13579094.0,103500.0,6592.0,True,True,23000301.0,R&B
5293,Twista,Overnight Celebrity,Kamikaze,album,0.828,0.792,10.0,-5.435,0.179,0.182,0.0,0.281,0.777,134.199,233360.0,Twista ‎- Overnight Celebrity (Official Video),UPROXX Video,13330118.0,170453.0,3701.0,True,True,133471119.0,hip hop
5294,Twista,Slow Jamz (feat. Kanye West & Jamie Foxx),Kamikaze,album,0.561,0.764,2.0,-6.645,0.138,0.373,0.0,0.157,0.598,145.158,212147.0,Twista - Slow Jamz (Feat. Kanye West & Jamie Foxx),TWISTA,22584289.0,198924.0,4430.0,False,False,63161849.0,hip hop
5295,Twista,Hope,Coach Carter Soundtrack,compilation,0.9,0.656,8.0,-7.218,0.222,0.43,0.0,0.189,0.288,106.948,252000.0,Twista ft Faith Evans - Hope (HQ),rumbleinthejungle74,23448986.0,217467.0,9187.0,False,False,35252851.0,hip hop
5296,Twista,Make A Movie,The Perfect Storm,album,0.846,0.774,1.0,-5.131,0.0509,0.00752,0.0,0.207,0.375,120.012,202000.0,"Twista ""Make A Movie"" Feat. Chris Brown",TWISTA,14523719.0,169161.0,3700.0,False,False,16197474.0,hip hop
5297,Twista,Sunshine (feat. Anthony Hamilton),Kamikaze,album,0.926,0.888,11.0,-5.337,0.294,0.261,0.0,0.348,0.819,98.523,226013.0,Sunshine (feat. Anthony Hamilton),Twista - Topic,1312621.0,22483.0,61.0,True,True,41178795.0,hip hop
5298,Twista,Wetter,Category F5,album,0.83,0.641,7.0,-10.902,0.13,0.176,0.0,0.392,0.614,119.968,256235.0,Twista - Wetter (OFFICIAL VIDEO),TWISTA,2634184.0,52844.0,564.0,True,True,15728006.0,hip hop
5300,Twista,Bars of Death,Bars of Death,single,0.585,0.757,7.0,-6.242,0.3,0.121,0.0,0.276,0.491,83.33,156363.0,Merkules & Twista - ''Bars Of Death'' (Prod. by C Lance),Young Merkules,65692.0,4933.0,366.0,True,True,138395.0,hip hop
5301,Twista,Girl Tonite (feat. Trey Songz),The Day After,album,0.668,0.724,7.0,-5.953,0.0536,0.00551,0.0,0.218,0.318,148.522,221373.0,Twista - Girl Tonite (feat. Trey Songz) [Official Video],Atlantic Records,3593448.0,41102.0,1157.0,True,True,9213284.0,hip hop
5312,Teoman,Kupa Kızı Ve Sinek Valesi,Teo,album,0.586,0.773,8.0,-5.724,0.0303,0.0187,0.0,0.314,0.369,94.83,295067.0,Teoman - Kupa Kızı Ve Sinek Valesi (Official Video),MuzikPlay,26378879.0,143774.0,7281.0,True,True,56301707.0,jazz
5322,Jerry Rivera,Amores Como el Nuestro,10 De Coleccion,album,0.698,0.872,0.0,-2.16,0.0456,0.583,0.00946,0.0848,0.62,179.556,302360.0,HD JERRY RIVERA - AMORES COMO EL NUESTRO,Yael Xian,30844887.0,85074.0,2098.0,False,False,168700251.0,latin
5323,Jerry Rivera,Cuenta Conmigo,No Me Olvidaras,album,0.673,0.718,1.0,-4.666,0.0379,0.609,6.88e-05,0.316,0.917,176.89,230187.0,CUENTA CONMIGO - JERRY RIVERA,Jorge Ovalle,33736.0,420.0,12.0,False,False,75668022.0,latin
5324,Jerry Rivera,Nada Sin Ti,Abriendo Puertas,album,0.741,0.465,0.0,-12.241,0.0413,0.694,2.35e-05,0.0605,0.858,85.744,272200.0,Jerry Rivera - Nada Sin Ti (Cover Audio Video),jerryriveraVEVO,27861500.0,152674.0,1799.0,True,True,26880361.0,latin
5325,Jerry Rivera,Qué Hay de Malo,Cara De Niño,album,0.735,0.61,1.0,-8.635,0.0439,0.598,0.0,0.0541,0.789,91.951,298640.0,Jerry Rivera - Que Hay De Malo (Official Video),jerryriveraVEVO,296240231.0,949758.0,16898.0,True,True,107436637.0,latin
5326,Jerry Rivera,Ese,No Me Olvidaras,album,0.528,0.714,5.0,-7.282,0.246,0.326,2.62e-06,0.158,0.603,79.344,211587.0,Jerry Rivera - Ese (Video Version),jerryriveraVEVO,64245078.0,205009.0,4758.0,True,True,46688996.0,latin
5327,Jerry Rivera,Casi un Hechizo,No Me Olvidaras,album,0.683,0.691,0.0,-3.322,0.0418,0.705,1.48e-05,0.049,0.842,93.012,224440.0,CASI UN HECHIZO - Jerry Rivera (video oficial) HD [1080p],Jordan García Tapia,579068.0,4603.0,90.0,False,False,52385764.0,latin
5328,Jerry Rivera,Cara de Niño,Cara De Niño,album,0.758,0.666,5.0,-9.022,0.0445,0.56,0.0,0.0912,0.961,92.811,296027.0,Jerry Rivera - Cara de Niño (Cover Audio Video),jerryriveraVEVO,30261166.0,127909.0,2299.0,True,True,48749074.0,latin
5329,Jerry Rivera,Vuela Muy Alto,Vuela Muy Alto,album,0.662,0.889,0.0,-4.675,0.0319,0.27,0.0,0.0843,0.828,163.98,252093.0,Jerry Rivera - Vuela Muy Alto (Video Oficial),jerryriveraVEVO,64917075.0,261871.0,6554.0,True,True,14394272.0,latin
5330,Jerry Rivera,Casi un Hechizo,Cuenta Conmigo,album,0.751,0.518,0.0,-9.705,0.0466,0.683,3.92e-05,0.0465,0.87,93.122,274733.0,CASI UN HECHIZO - Jerry Rivera (video oficial) HD [1080p],Jordan García Tapia,579068.0,4603.0,90.0,False,False,9868948.0,latin
5331,Jerry Rivera,Mi Libertad - with Special Guest: Voltio,Canto A Mi Idolo...Frankie Ruiz,album,0.774,0.771,8.0,-4.463,0.0417,0.678,0.0,0.739,0.905,94.945,275760.0,Jerry Rivera - Mi Libertad ft.Voltio (Video Oficial),jerryriveraVEVO,75200907.0,315848.0,5553.0,True,True,17666456.0,latin
5333,Too $hort,Gettin' It (feat. Parliament Funkadelic),Gettin' It (Album Number Ten),album,0.902,0.41,1.0,-5.31,0.219,0.176,0.0,0.119,0.647,84.07,341427.0,Too $hort - Gettin' It (Official Video) ft. Parliament Funkadelic,TooShortVEVO,3477753.0,60777.0,737.0,True,True,58456976.0,hip hop
5363,James Horner,"Becoming one of ""The People"" Becoming one with Neytiri",AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,compilation,0.0993,0.0902,1.0,-26.307,0.0428,0.692,0.85,0.0745,0.0382,71.062,463707.0,5. Becoming One Of The People-Becoming One With Neytiri - James Horner HD,AvatarJamesHornerHD,1484681.0,11589.0,521.0,False,False,39375575.0,film score
5365,James Horner,Rose,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,album,0.168,0.0393,5.0,-24.569,0.0395,0.86,0.942,0.131,0.0387,112.426,172520.0,James Horner - Rose | Titanic (Music From The Motion Picture),SonySoundtracksVEVO,43488.0,1013.0,28.0,True,True,39859451.0,film score
5366,James Horner,"My Heart Will Go On - Love Theme from ""Titanic""",Titanic: Special Edition,album,0.338,0.103,1.0,-21.472,0.0315,0.798,0.00129,0.124,0.04,98.531,310733.0,"James Horner & Celine Dion - My Heart Will Go On (From ""Titanic"")",TitanicMovieVEVO,103644.0,1160.0,50.0,False,False,37846515.0,film score
5367,James Horner,The bioluminescence of the night,AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,compilation,0.186,0.0359,1.0,-28.056,0.0369,0.473,0.202,0.0792,0.0391,127.743,217400.0,The bioluminescence of the night,James Horner - Topic,765435.0,5766.0,14.0,True,True,11204687.0,film score
5368,James Horner,The Ludlows,Legends Of The Fall Original Motion Picture Soundtrack,album,0.156,0.0223,7.0,-27.684,0.0367,0.938,0.848,0.0998,0.0495,72.844,340400.0,Legends of the Fall • The Ludlows • James Horner,HD Film Tributes,3115735.0,28866.0,1194.0,False,False,41883037.0,film score
5369,James Horner,Hymn to the Sea,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,album,0.161,0.085,4.0,-22.069,0.0415,0.798,0.446,0.0941,0.0392,109.161,385720.0,James Horner - Hymn To The Sea | Titanic (Music From The Motion Picture),SonySoundtracksVEVO,124822.0,2891.0,58.0,True,True,29936883.0,film score
5370,James Horner,"Christmas, Why Can't I Find You_",Dr. Seuss' How the Grinch Stole Christmas (Original Motion Picture Soundtrack) - Expanded Edition,album,0.32,0.0533,0.0,-23.314,0.0444,0.901,0.000638,0.0975,0.0694,120.286,129600.0,"James Horner - Christmas, Why Can't I Find You?",OST Movie Score,410.0,4.0,0.0,False,False,5683925.0,film score
